label,value
The Gaming Table: Its Votaries and Victims. Volume 2 (of 2),531
At the Foot of the Rainbow,532
The Song of the Cardinal,533
An Inland Voyage,534
Travels with a Donkey in the Cevennes,535
A Footnote to History: Eight Years of Trouble in Samoa,536
Tales of Terror and Mystery,537
Jean of the Lazy A,538
A. W. Kinglake: A Biographical and Literary Study,539
The Red Fairy Book,540
The Age of Innocence,541
Main Street,543
Anne's House of Dreams,544
Under the Andes,546
Baron Trigault's Vengeance,547
"Project Trinity, 1945-1946",548
The Underdogs: A Novel of the Mexican Revolution,549
Silas Marner,550
The Land That Time Forgot,551
The People That Time Forgot,552
Out of Time's Abyss,553
The Contrast,554
The Unbearable Bassington,555
Rewards and Fairies,556
Puck of Pook's Hill,557
The Thirty-Nine Steps,558
Greenmantle,559
Mr. Standfast,560
The Further Adventures of Robinson Crusoe,561
The Go Ahead Boys and the Racing Motor-Boat,562
"The Planet Mars and Its Inhabitants, a Psychic Revelation",563
The Mystery of Edwin Drood,564
The History of the Thirty Years' War,566
"The Complete Works of Brann, the Iconoclast — Volume 01",567
"The Complete Works of Brann, the Iconoclast — Volume 10",568
"The Complete Works of Brann, the Iconoclast — Volume 12",569
"The Moravians in Georgia, 1735-1740",570
The 1995 CIA World Factbook,571
The Great Big Treasury of Beatrix Potter,572
Tales from Shakespeare,573
Poems of William Blake,574
"The Essays or Counsels, Civil and Moral",575
"The Works of Samuel Johnson, in Sixteen Volumes. Volume IV",577
The Poems of Sidney Lanier,579
The Pickwick Papers,580
Ginx's Baby: His Birth and Other Misfortunes; a Satire,581
A Collection of Beatrix Potter Stories,582
The Woman in White,583
"Our Nig; Or, Sketches from the Life of a Free Black, in a Two-story White House, North
Showing That Slavery's Shadows Fall Even There",584
"Running a Thousand Miles for Freedom
Or, The Escape of William and Ellen Craft from Slavery",585
"Religio Medici, Hydriotaphia, and the Letter to a Friend",586
Danny's Own Story,587
Master Humphrey's Clock,588
Catriona,589
"Robert Louis Stevenson: A Record, an Estimate, and a Memorial",590
Flame and Shadow,591
"The Chinese Nightingale, and Other Poems",592
"A Selection from the Writings of Guy De Maupassant, Vol. I",593
Twilight Stories,594
"The Sisters' Tragedy, with Other Poems, Lyrical and Dramatic",595
Rivers to the Sea,596
"The Story of Burnt Njal: The Great Icelandic Tribune, Jurist, and Counsellor",597
"Heimskringla; Or, The Chronicle of the Kings of Norway",598
